,ID,Heading Text,Heading Title,Frequency,Person/Job/Org/None
10,445,"The Senior Data Analyst is responsible for analyzing medical utilization, clinic outcomes, and financial data; and generating meaningful reports. The Senior Data Analyst’s ultimate goal is to provide data driven support to improve the quality of care and operational efficiency, and to facilitate financial decision making.",position summary,56,Job
11,461,"We are looking for a passionate and analytical individual to apply their knowledge to deliver timely, accurate, and actionable insights to business stakeholders. In this role, you will work closely with Kinesso’s product development teams, business stakeholders, and customers to create cutting-edge visualizations and tell compelling stories with data. As a part of Kinesso’s Product Innovation team, an ideal candidate for this role likes to think outside of the box and find creative solutions to difficult problems.",position summary,56,Job
12,471,"We are looking for a passionate and analytical individual to apply their knowledge to deliver timely, accurate, and actionable insights to business stakeholders. In this role, you will work closely with Kinesso’s product development teams, business stakeholders, and customers to create cutting-edge visualizations and tell compelling stories with data. As a part of Kinesso’s Product Innovation team, an ideal candidate for this role likes to think outside of the box and find creative solutions to difficult problems.",position summary,56,Job
13,502,"The QC&C Business Analyst will identify process improvements, conduct statistical analyses on program performance, and conduct cost-benefit analyses on potential resource allocations/process changes within the QC&C group. The Business Analyst work with stakeholders to prioritize and implement changes and develop ongoing measurement and reporting on program performance.",position summary,56,Job
14,519,"Working in a team environment, the Business Capability Architecture IT business Analyst role is to work with PG&E’s BCA team and Lines of Business to assist them in creating an end to end value stream map for various business areas. The BCA Analyst will collaborate with other internal departments, various business stakeholders to help the enterprise architecture team and associated business groups understand end to end lifecycle view of various asset families present in the PG&E infrastructure. Specific role duties include",position summary,56,Job
15,520,"This Senior IT and Telecom Financial analyst is part of the Budget and Analysis Team with a focus on fiscal overview and management of the City's Telecom budget and expenditures totaling approximately $22M. This position is also very critical in planning and supporting the development of the replacement Citywide telecom costing system as the City migrates from its legacy telecom system to Voice over internet Protocol (VoIP). This effort will include defining the cost components as well as developing the methodology by which to equitably allocate costs to all City users. An ongoing objective for this position is to continually, and proactively identify cost efficiency programs and recommendations within this area of the department budget. In addition to this key focus, this position will also be responsible in providing oversight and management with other department business units that may be directly or indirectly related to the City's Telecom Program.",position summary,56,Job
16,538,"This Senior IT and Telecom Financial analyst is part of the Budget and Analysis Team with a focus on fiscal overview and management of the City's Telecom budget and expenditures totaling approximately $22M. This position is also very critical in planning and supporting the development of the replacement Citywide telecom costing system as the City migrates from its legacy telecom system to Voice over internet Protocol (VoIP). This effort will include defining the cost components as well as developing the methodology by which to equitably allocate costs to all City users. An ongoing objective for this position is to continually, and proactively identify cost efficiency programs and recommendations within this area of the department budget. In addition to this key focus, this position will also be responsible in providing oversight and management with other department business units that may be directly or indirectly related to the City's Telecom Program.",position summary,56,Job
17,564,"Loanpal’s Business Intelligence and Data teams are responsible for delivering innovative, best-in-class solutions across various platforms to power world-positive lending. We are obsessed with enabling fast paced business decision-making, delivering business changing insights and supporting a driven and data hungry organization with the highest quality data, decision support, analysis and models. We want everyone in the organization to have access to data and decision support tools that allow them to outperform the competition, now and into the future.",position summary,56,Job
18,571,"Distribution Asset Health and Performance Center Operations Data Analysts evaluate, pilot, and implement cutting edge technologies, which plays a key role in PG&E’s vision of building and maintaining a safe and reliable system in our continually changing environment. They have a crucial role in defining and executing innovative technology and pilot projects that enable this vision.",position summary,56,Job
19,591,"Loanpal’s Business Intelligence and Data teams are responsible for delivering innovative, best-in-class solutions across various platforms to power world-positive lending. We are obsessed with enabling fast paced business decision-making, delivering business-changing insights and supporting a driven and data hungry organization with the highest quality data, decision support, analysis and models. We want everyone in the organization to have access to data and decision support tools that allow them to outperform the competition, now and into the future.",position summary,56,Job
20,594,"Distribution Asset Health and Performance Center Operations Data Analysts evaluate, pilot, and implement cutting edge technologies, which plays a key role in PG&E’s vision of building and maintaining a safe and reliable system in our continually changing environment. They have a crucial role in defining and executing innovative technology and pilot projects that enable this vision.",position summary,56,Job
21,612,"The successful candidate for this role will need to possess highly specialized skills that combine in-depth knowledge of scanning OT Grid systems, cyber security tools, and operational knowledge of a Data Security Program Office.",position summary,56,Job
22,623,"The successful candidate for this role will need to possess highly specialized skills that combine in-depth knowledge of scanning OT Grid systems, cyber security tools, and operational knowledge of a Data Security Program Office.",position summary,56,Job
23,624,"Manages programs or projects involving department and cross-functional teams focused on the delivery of Anomali technologies, features, and services. Plans and directs schedules. Monitors the product/marketing from initiation through delivery. Organizes interdepartmental activities ensuring completion of the product/program/project on schedule and within constraints of quality, schedule, and features.",position summary,56,Job
24,647,"In the position of Lead Business Analyst, you will be responsible for leading application and solution delivery focused on the scalability and continuous improvement of DocuSign's Quote to Cash processes and supporting tech stack. As a team lead, this position will also be responsible for delivery against the short and long term roadmaps of DocuSign's Q2C vision. The successful candidate will provide structure & leadership to projects, understand the DocuSign business and translate business needs into technical solutions while overseeing the delivery of IT services and projects, and ensuring internal client satisfaction.",position summary,56,Job
25,662,"Loanpal’s Business Intelligence and Data teams are responsible for delivering innovative, best-in-class solutions across various platforms to power world-positive lending. We are obsessed with enabling fast paced business decision-making, delivering business changing insights and supporting a driven and data hungry organization with the highest quality data, decision support, analysis and models. We want everyone in the organization to have access to data and decision support tools that allow them to outperform the competition, now and into the future.",position summary,56,Job
26,705,"We are seeking a talented Data Analyst to design and develop reports and analyses from our R&D database. The information you deliver will drive key research and development decisions by scientific stakeholders. Your strong communication skills and scientific knowledge will enable you to work collaboratively with a diversity of cross functional scientific team members to develop meaningful, rich views of drug discovery data. In addition to directly creating such views using your expertise with reporting tools such as R markdown or shiny apps, you will serve as a liaison between the research team and the software engineering team, providing project management support and writing specifications for any engineering work required in support of reporting.",position summary,56,Job
27,718,"We are seeking a talented Data Analyst to design and develop reports and analyses from our R&D database. The information you deliver will drive key research and development decisions by scientific stakeholders. Your strong communication skills and scientific knowledge will enable you to work collaboratively with a diversity of cross functional scientific team members to develop meaningful, rich views of drug discovery data. In addition to directly creating such views using your expertise with reporting tools such as R markdown or shiny apps, you will serve as a liaison between the research team and the software engineering team, providing project management support and writing specifications for any engineering work required in support of reporting.",position summary,56,Job
28,729,"We are seeking a talented Data Analyst to design and develop reports and analyses from our R&D database. The information you deliver will drive key research and development decisions by scientific stakeholders. Your strong communication skills and scientific knowledge will enable you to work collaboratively with a diversity of cross functional scientific team members to develop meaningful, rich views of drug discovery data. In addition to directly creating such views using your expertise with reporting tools such as R markdown or shiny apps, you will serve as a liaison between the research team and the software engineering team, providing project management support and writing specifications for any engineering work required in support of reporting.",position summary,56,Job
29,784,,position summary,56,Job
30,797,"The Data Scientist – Level I in the Center for Health Care Data (CHCD) is a skillful team player with a clear track record of transforming data into actionable insights and knowledge. This individual is a deliberate and systematic scientist who can clearly articulate the hypotheses to be tested, practice with rigor and precision, and maintain a balanced/independent point of view to achieve valid and accepted findings. The position has a strong emphasis on using social determinants of health datasets in conjunction with administrative claims and electronic health records to measure the relational impact of these variables.",position summary,56,Job
31,818,"Caris Life Sciences is looking for a sharp, driven and goal-oriented Data Scientist to provide data mining and analysis support for novel biomarker discovery derived from Caris’ proprietary ADAPT Biotargeting SystemTM, companion diagnostic test development and validation, and will be responsible for maintaining data processing pipelines and developing and documenting analysis tools. The successful candidate will possess proficient analytical capability, solid scientific background in mathematics, and strong communication skills. We are looking for team oriented, hands on experts with a passion for personalized medicine and innovation in statistical and mathematical analyses.",position summary,56,Job
32,835,,position summary,56,Job
33,881,,position summary,56,Job
34,886,,position summary,56,Job
35,988,"We are looking for an accomplished analyst, who is at ease with slicing & dicing and",position summary,56,Job
36,1027,"This is a remote position as part of Audubon’s new, growing Data and Analytics team and reports to the Director of Membership Analytics. The Data Scientist will be charged with providing actionable insights that advance Audubon’s mission to business units including conservation, network, campaigns, field, marketing, fundraising, and operations, in addition to Audubon external partners. The Data and Analytics team plays a key role in empowering these units and needs analytic support from a Data Scientist who will work to understand the needs of the organization and who can effectively communicate data and results that help us make better-informed decisions and accomplish our work more efficiently and effectively.",position summary,56,Job
37,1080,"The Senior Data Scientist will be a key member of the Data & Research function focused on building a foundational, world class analytical capabilities. They will be part of an inaugural team of peers, that includes Data Strategy and Fan Engagement, focused on elevating the NBA's use of analytics, predictive modeling, data visualization to grow engagement with our fans. This will involve leveraging many different but related data streams along with future streams to inform a single view of the fan across the NBA's global touchpoints including both on and offline platforms and channels. This role will focus on elevating the NBA's use of analytics, predictive modeling, data visualization, and influence to take both our teams and our league to the next level with a vision of 'deepening engagement with fans, both prospective and existing, that builds a lifetime love of the game'. This will involve leveraging many different but related data streams along with future streams to inform a single view of the fan across the NBA's global touchpoints including both on and offline platforms and channels.",position summary,56,Job
38,1083,"The Data Sceintest will lead efforts to leverage AI/ML to improve the operation and service of analytical instruments and laboratory equipment by partnering with our Product Owners and SAFe development teams to transform user stories into deployed reality. You’ll be working with a range of technologies and designing solutions to our customers’ biggest challenges. We’re looking for top architects, system and software engineers capable of using ML and other techniques to design, evangelize, and implement state-of-the-art solutions for never-before-solved problems. Your ideas and solutions will affect hundreds of product lines and thousands of customers.",position summary,56,Job
39,1090,"This part-time position provides complex analytic support to the SeedProgram research lab at the New York University School of Medicine, Department of Population Health. This position will report directly to Marie Bragg, Assistant Professor of Public Health Nutrition. The SeedProgram aims to address aims to address obesity, reduce health disparities, and inform international and domestic food policy by informing policymakers in the US and global community with empirically-supported guidance on improving the world’s diet. The position is responsible for collaborating with Principal Investigator (PI) and working independently within the scientific framework of the Lab to support implementation of awarded projects.",position summary,56,Job
40,1118,The Flatiron Institute's Center for Computational Mathematics (CCM) seeks scientists at all levels of seniority in disciplines including:,position summary,56,Job
41,1191,"The Center for Computational Mathematics (CCM), formed in 2018, aims to become a leading international center for the study of applied mathematics, machine learning, signal processing, numerical analysis and related fields. Tremendous opportunities exist at the intersection of mathematics, computer science, statistics, and their scientific applications, with the lines between theory, algorithm development and software implementation often blurred. A major goal of CCM is to develop the next generation of simulation and analysis methods and to make them available to the scientific community. CCM has vibrant scientific interactions with the other four centers at the Flatiron Institute and hosts an array of meetings and workshops.",position summary,56,Job
42,1207,"Develops new sales opportunities by positioning the Iron Mountain global data center platform into assigned local market, with a strong focus on targeting opportunities within the Finance, Healthcare, Cloud, SaaS, Network, Content, eCommerce and Managed Services sectors.",position summary,56,Job
43,1221,"Develops new sales opportunities by positioning the Iron Mountain global data center platform into assigned local market, with a strong focus on targeting opportunities within the Finance, Healthcare, Cloud, SaaS, Network, Content, eCommerce and Managed Services sectors.",position summary,56,Job
44,1226,"As part of the Foundation, Search, and Voice Science team, you will design and build the next generation of SiriusXM and Pandora’s voice and search experiences. Your contributions will drive content discovery and personalization through voice and search interactions across our mobile apps, third-party devices (e.g., Alexa, Google Home, Roku, etc.), and automotive products.",position summary,56,Job
45,1327,"The Senior Data Scientist works with a fast-paced, cross-functional, agile team that is creating a new data and analytics platform that will allow us to better build new analytic functionality and perform client analyses at scale. The Senior Data Scientist will be involved in the full spectrum of analytic development: evaluating data to ensure it can support proposed methods, defining and prototyping algorithms, building predictive models, and conducting analytic testing of the implementation of algorithms/models in our data and analytics platform. Initial work will focus on analytics for pharmacy claims data. Over time, additional data sources will be added to the platform.",position summary,56,Job
46,1346,"The New York County District Attorney's Office (DANY) anticipates two openings for Investigative Analysts in its Special Victims Bureau. The Special Victims Bureau oversees five units that specialize in handling cases involving special victims: the Sex Crimes Unit, Child Abuse Unit, Domestic Violence Unit, Elder Abuse Unit, and Human Trafficking Response Unit. The mission of the bureau is to bring order and stability to victims' lives while ensuring that their voices are heard in the criminal justice system.",position summary,56,Job
47,1403,"The Analyst role is primarily responsible for the technical functionalities of, and updates to, the Kantar Epi Database, a multi-million dollar product that is utilized by clients globally to study and forecast the patient size, patient characteristics and trends among numerous disease indications. As part of the epidemiology team, the Analyst updates and maintains the database that is populated from secondary research data.",position summary,56,Job
48,1434,"Met Council is America’s largest Jewish charity dedicated to serving the needy. We fight poverty through comprehensive social services and by treating each client with compassion, integrity and respect. Our ten different departments are staffed by experts who help over 225,000 clients each year and advocate on behalf of all needy New Yorkers. Our programs range from 100% affordable housing at 21 locations to our family violence program to Holocaust survivor assistance to senior programming to crisis intervention to the largest free kosher food distribution program in the world. Our network of 75 food pantries, affordable housing sites and JCCs provide services directly in neighborhoods across New York.",position summary,56,Job
49,1465,We have an exciting opportunity to join our team as a FGP Analyst.,position summary,56,Job
50,1477,We have an exciting opportunity to join our team as a FGP Analyst.,position summary,56,Job
51,1489,"This part-time position provides complex analytic support to the SeedProgram research lab at the New York University School of Medicine, Department of Population Health. This position will report directly to Marie Bragg, Assistant Professor of Public Health Nutrition. The SeedProgram aims to address aims to address obesity, reduce health disparities, and inform international and domestic food policy by informing policymakers in the US and global community with empirically-supported guidance on improving the world’s diet. The position is responsible for collaborating with Principal Investigator (PI) and working independently within the scientific framework of the Lab to support implementation of awarded projects.",position summary,56,Job
52,1497,"We are an innovative research entity in the Division of Cardiology and General Medicine looking for a highly organized, equity driven, detail-oriented and enthusiastic candidate to support the patient-oriented research portfolio of the Center for Behavioral Cardiovascular Health. The Data Analyst will work in conjunction with the Principal Investigator, other study investigators, Data Manager and staff to coordinate data management and analysis activities for multiple clinical research projects.",position summary,56,Job
53,1507,"This part-time position provides complex analytic support to the SeedProgram research lab at the New York University School of Medicine, Department of Population Health. This position will report directly to Marie Bragg, Assistant Professor of Public Health Nutrition. The SeedProgram aims to address aims to address obesity, reduce health disparities, and inform international and domestic food policy by informing policymakers in the US and global community with empirically-supported guidance on improving the world’s diet. The position is responsible for collaborating with Principal Investigator (PI) and working independently within the scientific framework of the Lab to support implementation of awarded projects.",position summary,56,Job
54,1511,"We are an innovative research entity in the Division of Cardiology and General Medicine looking for a highly organized, equity driven, detail-oriented and enthusiastic candidate to support the patient-oriented research portfolio of the Center for Behavioral Cardiovascular Health. The Data Analyst will work in conjunction with the Principal Investigator, other study investigators, Data Manager and staff to coordinate data management and analysis activities for multiple clinical research projects.",position summary,56,Job
55,1512,We have an exciting opportunity to join our team as a Data Analyst (Financials).,position summary,56,Job
56,1543,We have an exciting opportunity to join our team as a Operations Analyst.,position summary,56,Job
57,1577,"EcoHealth Alliance seeks a creative, self-motivated, and technically adept Data Librarian/Analyst to support our growing organization’s data management needs related to our research in disease emergence, pandemic prediction and preparedness, and wildlife conservation. The Data Librarian/Analyst will work closely with our teams of scientists, ranging from field veterinarians to machine-learning specialists, as well as software engineers and staff, to maintain best practices for data management and facilitate research across the organization and with collaborators. The Data Librarian/Analyst will support the development of a common set of tools and practices for managing and harmonizing our diverse data (epidemiological, ecological, geospatial, and text) for varied project needs across the organization. This position will require work with researchers at a variety of technical skill levels to improve data management, reuse, interoperability, sharing, publication, real-time reporting and reproducibility. Time will be evenly split between (a) data curation and tooling and (b) providing support to project teams in data acquisition, analysis, and visualization tasks.",position summary,56,Job
58,1619,"Aspen Dental Management, Inc. (ADMI) is the nation’s premier dental services organization. We provide expert business and administrative support to the fastest growing, branded network of dental practices in the country. We recognize that our success is a direct result of empowering and supporting ambitious dental professionals; together we build and develop successful, patient focused dental practices. Our continued growth has created an opportunity to join our Information Technology team as Data Warehouse Analyst II.",position summary,56,Job
59,1634,"The Analyst, Customer Supply will provide critical analytical and operational support to the Customer Resource Center team while working cross-functionally with Supply Chain Planning, Production Operations, & Logistics. This role provides data collection & analytics, as well as system master data maintenance, in support of Order Management activities for both internally produced products, as well as Third-Party manufactured items.",position summary,56,Job
60,1650,"The Business Analyst, IT Digital and Customer Products provides direct support to IT Loyalty team by supporting the Project Manager in the development of materials in support of the planning and execution of IT projects. With the guidance of a Project Manager the Business Analyst actively supports all aspects of the projects from start to finish with a particular emphasis on requirements development and participation project quality activities. The Business Analyst may occasionally serve as the project lead on smaller, well-defined projects or provide support to IT Managers in project initiation activities.",position summary,56,Job
61,1654,"The Cybersecurity Analyst is responsible for supporting TCW’s Cybersecurity team in planning and implementing firm-wide security measures to protect computer systems, networks and data in the firm. This is a great entry-level opportunity for candidates who are seeking to establish a career in network and cybersecurity. The incumbent will work under the guidance of senior cybersecurity engineers on the team and will support the team in monitoring and preventing data loss and service interruptions by researching new technologies and find innovative ways to effectively protect TCW’s network.",position summary,56,Job
62,1670,The primary focus of the Investment Strategies Analyst is to provide research support for the Investment Strategies team. The candidate should possess a solid grasp of using primary data sources to investigate research questions and knowledge of analytical methods.,position summary,56,Job
63,0,,desired skills and experience,4,Person
64,2,"4+ years’ experience in data science or analytics roles delivering campaign and audience measurement, data-driven insights, predictive modeling, and recommendations to internal or external clients.Ability to articulate analytics expertise through the work of others – by leading technical resources to perform the analyses and leading the client team through recommending, championing, and briefing those analyses.Demonstrated strong presentation and storytelling with data skills. Be able to deliver clear value while simplifying the complexity for business audience and partnering with other disciplines to deliver recommendations.Familiarity and some experience using predictive modeling approaches, including machine learning, AI, clustering, regression, ensemble modeling, and decision trees.Ability to query, manipulate, extract, and analyze structured data from large data repositories to generate actionable insights that deliver business resultsFamiliarity with experimental design and offer testing methodologyExperience with cloud-based big data platforms – e.g., Redshift, Big Query, Teradata.Bachelor’s degree or master’s (preferred) in a quantitative field (STEM or quantitative social sciences) and/or MBA with strong quant background.Strong organizational skills – task prioritization, effective time management, meeting facilitation, conflict resolution, and risk identification/mitigationStrong business skills – understand and identify key business levers and tailor recommendations that tap them.Knowledge of the digital marketing ecosystem and fluency with common web technologies is strongly preferredStrong strategic thinking and prioritization skillsExperience with Power BI or other front-end visualization tool is a plus",desired skills and experience,4,Person
65,5,"4+ years’ experience in data science or analytics roles delivering campaign and audience measurement, data-driven insights, predictive modeling, and recommendations to internal or external clients.Ability to articulate analytics expertise through the work of others – by leading technical resources to perform the analyses and leading the client team through recommending, championing, and briefing those analyses.Demonstrated strong presentation and storytelling with data skills. Be able to deliver clear value while simplifying the complexity for business audience and partnering with other disciplines to deliver recommendations.Familiarity and some experience using predictive modeling approaches, including machine learning, AI, clustering, regression, ensemble modeling, and decision trees.Ability to query, manipulate, extract, and analyze structured data from large data repositories to generate actionable insights that deliver business resultsFamiliarity with experimental design and offer testing methodologyExperience with cloud-based big data platforms – e.g., Redshift, Big Query, Teradata.Bachelor’s degree or master’s (preferred) in a quantitative field (STEM or quantitative social sciences) and/or MBA with strong quant background.Strong organizational skills – task prioritization, effective time management, meeting facilitation, conflict resolution, and risk identification/mitigationStrong business skills – understand and identify key business levers and tailor recommendations that tap them.Knowledge of the digital marketing ecosystem and fluency with common web technologies is strongly preferredStrong strategic thinking and prioritization skillsExperience with Power BI or other front-end visualization tool is a plus",desired skills and experience,4,Person
66,28,"4+ years’ experience in data science or analytics roles delivering campaign and audience measurement, data-driven insights, predictive modeling, and recommendations to internal or external clients.Ability to articulate analytics expertise through the work of others – by leading technical resources to perform the analyses and leading the client team through recommending, championing, and briefing those analyses.Demonstrated strong presentation and storytelling with data skills. Be able to deliver clear value while simplifying the complexity for business audience and partnering with other disciplines to deliver recommendations.Familiarity and some experience using predictive modeling approaches, including machine learning, AI, clustering, regression, ensemble modeling, and decision trees.Ability to query, manipulate, extract, and analyze structured data from large data repositories to generate actionable insights that deliver business resultsFamiliarity with experimental design and offer testing methodologyExperience with cloud-based big data platforms – e.g., Redshift, Big Query, Teradata.Bachelor’s degree or master’s (preferred) in a quantitative field (STEM or quantitative social sciences) and/or MBA with strong quant background.Strong organizational skills – task prioritization, effective time management, meeting facilitation, conflict resolution, and risk identification/mitigationStrong business skills – understand and identify key business levers and tailor recommendations that tap them.Knowledge of the digital marketing ecosystem and fluency with common web technologies is strongly preferredStrong strategic thinking and prioritization skillsExperience with Power BI or other front-end visualization tool is a plus",desired skills and experience,4,Person
67,226,Must:,desired skills and experience,4,Person
68,279,"BS/BA degree in business, statistics, economics, or related degree OR equivalent combination of education, training, and experience",desired skills and experience,4,Person
69,300,"BS/BA degree in business, statistics, economics, or related degree OR equivalent combination of education, training, and experience",desired skills and experience,4,Person
70,849,"We need someone who understands the Facebook/Twitter/Snapchat culture and in-tune with the lifestyle and expectations of modern society and can work with the concepts of creativity where things might not be available on google for reference, but the right candidate has capacity to create unique solutions independently and solve problems.",desired skills and experience,4,Person
71,1385,"A candidate’s skills, experience, and outlook are of primary importance to us. We seek out",desired skills and experience,4,Person
72,0,"BS degree in Industrial Engineering, Chemical Engineering, Computer Science, Statistics or Operations Research with a specialization in data science or analytics Excellent analytical and problem-solving skills Passion for technology with a strong emphasis on user experience and business value Ability to succinctly convey complex solutions to business stakeholders and executive leadership Willingness to work in an agile and dynamic environment Availability to travel up to 30%, domestic and international",basic requirements,5,Job
73,228,You have a track record of applying machine learning techniques in addressing real-world problems,basic requirements,5,Job
74,609,7+ years experience as a Business Analyst or Consultant in a mid to large sized organization with demonstrated leadership driving projects in a matrix organization.,basic requirements,5,Job
75,618,7+ years experience as a Business Analyst or Consultant in a mid to large sized organization with demonstrated leadership driving projects in a matrix organization.,basic requirements,5,Job
76,817,"Minimum of 3 years’ professional experience as a Data Scientist or Data Science role performing Machine LearningMinimum of 2 years' experience providing end to end Data Science project implementationsMinimum of 2 years’ experience in Python or RBS/MA/MS in Statistics, Computer Science, Mathematics, Machine Learning, Econometrics, Physics, Biostatistics or related Quantitative disciplinesAbility to travel per clients’ demand (up to 50%)",basic requirements,5,Job
77,1099,You have a track record of applying machine learning techniques in addressing real-world problems,basic requirements,5,Job
78,1244,You have a track record of applying machine learning techniques in addressing real-world problems.,basic requirements,5,Job
79,0,"MS or higher degree in Industrial Engineering, Chemical Engineering, Computer Science, Statistics or Operations Research with a specialization in data science or analytics 5+ years of relevant industry experience Deep knowledge of machine learning and/or operations research theory with practical development experience Strong programming skills in Python or at least one major programming language Demonstrated ability to follow software development best practices Ability to develop, implement and support production level data science pipelines Experience with APIs and microservices Experience with web application development Experience deploying solutions to cloud providers, preferably Azure Experience designing and using relational databases, NoSQL data stores and data historians Experience with data visualization Experience with Docker and Linux environments",preferred qualifications,138,Person
80,9,"Experience using GitExperience building frontend and backend web applications (e.g. Django, React JS, JQuery)Experience with ETL and cloud infrastructure",preferred qualifications,138,Person
81,35,"Advanced skills, and demonstrated experience associated with one or more of the following: HPC hardware and software power and performance analysis and research, design, modification, Implementation and deployment of HPC or data science or CI applications and tools",preferred qualifications,138,Person
82,36,Background in data science or machine learning engineering,preferred qualifications,138,Person
83,41,"A bachelor's degree in economics, statistics, math, computer science, or another quantitative field; candidates with a relevant PhD and/or extensive experience will be evaluated (and compensated) commensurate with their education and experience",preferred qualifications,138,Person
84,55,"Graduate degree in statistics, epidemiology or related area and/or equivalent experience/training",preferred qualifications,138,Person
85,58,Master’s Degree,preferred qualifications,138,Person
86,68,Theoretical knowledge and practical experience with advanced statistical and machine learning analysis techniques,preferred qualifications,138,Person
87,69,"MS or PhD in Computer Science, Applied Math, Physics, Engineering, Statistics, Economics or other technical field",preferred qualifications,138,Person
88,78,"A bachelor's degree in economics, statistics, math, computer science, or another quantitative field; candidates with a relevant PhD and/or extensive experience will be evaluated (and compensated) commensurate with their education and experience",preferred qualifications,138,Person
89,90,"MS or PhD in Computer Science, Applied Math, Physics, Engineering, Statistics, Economics or other technical field",preferred qualifications,138,Person
90,95,"MS or PhD in Computer Science, Applied Math, Physics, Engineering, Statistics, Economics or other technical field",preferred qualifications,138,Person
91,97,"A bachelor's degree in economics, statistics, math, computer science, or another quantitative field; candidates with a relevant PhD and/or extensive experience will be evaluated (and compensated) commensurate with their education and experience",preferred qualifications,138,Person
92,101,"Graduate degree in data science, epidemiology, biostatistics, statistics, public health or related field and two to three years of relevant experience, or an equivalent combination of education and experience",preferred qualifications,138,Person
93,105,"MS or PhD in Computer Science, Applied Math, Physics, Engineering, Statistics, Economics or other technical field",preferred qualifications,138,Person
94,122,2+ years of industry experience relevant to statistical modeling and/or machine learning,preferred qualifications,138,Person
95,129,"MS or PhD in Computer Science, Applied Math, Physics, Engineering, Statistics, Economics or other technical field",preferred qualifications,138,Person
96,130,"Experience with Finance data (credit record data, loan underwriting)",preferred qualifications,138,Person
97,137,"MS or PhD in Computer Science, Applied Math, Physics, Engineering, Statistics, Economics or other technical field",preferred qualifications,138,Person
98,138,"Experience with Finance data (credit record data, loan underwriting)",preferred qualifications,138,Person
99,141,,preferred qualifications,138,Person
100,143,,preferred qualifications,138,Person
101,147,N/A,preferred qualifications,138,Person
102,161,"Ph.D. in Computer Science, Mathematics, Statistics, Physics or a related quantitative discipline",preferred qualifications,138,Person
103,176,"PhD Degree in a quantitative field (CS, EE, Statistics, Physics, Math, etc.) or 2+ years industry experience working as a Data Scientist",preferred qualifications,138,Person
104,184,"If you have the following characteristics, it would be a plus:",preferred qualifications,138,Person
105,203,"PhD degree in economics, statistics, operations research or a related quantitative field",preferred qualifications,138,Person
106,209,"Python/R, knowledge and hand-on experience in statistical programming and data science toolkits – one or more of Pandas/Jupyter/SCIKIT/Tensorflow",preferred qualifications,138,Person
107,214,"MS or PhD in Computer Science, Applied Math, Physics, Engineering, Statistics, Economics or other technical field",preferred qualifications,138,Person
108,220,"Customer obsession and the ability to collaborate with product managers and designers to balance quality, speed, and scalability.",preferred qualifications,138,Person
