,ID,Heading,Heading Text
3,3,Here’s What We're Looking For,"At least 2 years experience in a similar role, ideally at a product-focused software company Strong SQL skills, and comfortable in at least one scripting or statistical programming language (ideally Python and/or R) Strong knowledge of statistics and experiment design and ability to apply these to conducting and interpreting analyses, data visualization, presentation and recommendations Excellent communicator - able to effectively deliver findings and recommendations to non-technical stakeholders in a clear and compelling fashion Passionate about teaching and evangelizing a data-informed approach to product development to product managers, designers and engineers MS or PhD in a quantitative field + at least 1-2 years experience in a business environment, or BS or Data Science Bootcamp graduate + equivalent experience in a business setting considered"
0,4,Entry,
1,4,Summary,"At Apple, new ideas have a way of becoming great products, services, and customer experiences very quickly. If you are an ambitious, high-energy individual who is not afraid of challenges, we’re looking for you."
2,4,Key Qualifications,"Demonstrated ability in a Data Scientist or Data Analyst role, preferably from a role passionate about search and discovery. Domain knowledge in music, mobile apps, or video content is a plus."
3,4,Strong proficiency with SQL-based languages.,"Experience with large scale analytics technologies such as Hadoop and Spark preferred. Experience with Python, R or comparable language."
4,4,Description,"Dive deep into large-scale data to uncover trends and identify key insights that will drive App Store product and design strategy. Craft how best to monitor, measure and understand product and business performance around search and discovery. Collaborate with business, marketing, finance and executive teams to generate regular presentations for C-level. Partner with other Apple organizations on data gathering, data governance, evangelizing key performance indicators and democratizing data. Your creative skills will be utilized daily"
5,4,Education & Experience,"Minimum of a Bachelors degree in Computer Science, Statistics, Mathematics, Engineering, Economics or related field. Ideally, Masters or PhD in related field"
0,5,Entry,"Lead analytics and measurement efforts for strategic accounts using the LXM approach – e.g., Existing and new promising accounts.Proactively identify and define data and learning opportunities that solve or support client objectives and create visibility to performance and the levers that drive it.Participate in client team scoping and road-mapping to ensure analytics needs are properly planned and are visible to and supported by the client and delivery teams.Develop measurement plans and strategies to provide program insights, address learning objectives and improve program effectiveness.Develop blueprints, learning roadmaps, work proposals, and data strategy presentations that outline solutions that measure against the client’s objectives and provide insights that reveal or empower opportunities for improving performance.Provide thought leadership and act as the subject matter expert in the deployment of data-driven solutions, measurement, and analytics – be familiar with multiple approaches and recommend the one that best drives to the client need.Oversee the full analytics lifecycle from problem identification, solutioning, requirements development, solution creation and results delivery.Write and/or review briefs to external resources that define and specify requirements for more in-depth analytics projects (exploratory, descriptive, and predictive analytics, ML, AI) and lead/oversee the delivery of solutions from the results.Complete the work with a cogent presentation of findings with actionable recommendations.Where needed, apply statistical concepts and techniques to analyze experiments and predict user behavior and behavioral drivers for accuracy and client alignment."
1,5,Additional Information,"Merkle fosters a diverse environment that encourages original thinking about our business and empowers us to communicate with a global world of customers. We embrace differences of opinion and diversity of thought as they help us challenge and refine our solutions. Merkle, as a best-in-class marketing agency, welcomes big ideas, and believes they can come from anywhere."
2,5,Perks & Benefits,"Merkle offers a flexible vacation policy, retirement benefits, paid sick leave, generous health, dental and vision insurance options, parental leave, adoption benefits, and more. We recognize high-performers and provide long-term growth opportunities. We hope you'll join us!"
3,5,FLSA Status: Exempt,
4,5,Desired Skills and Experience,"4+ years’ experience in data science or analytics roles delivering campaign and audience measurement, data-driven insights, predictive modeling, and recommendations to internal or external clients.Ability to articulate analytics expertise through the work of others – by leading technical resources to perform the analyses and leading the client team through recommending, championing, and briefing those analyses.Demonstrated strong presentation and storytelling with data skills. Be able to deliver clear value while simplifying the complexity for business audience and partnering with other disciplines to deliver recommendations.Familiarity and some experience using predictive modeling approaches, including machine learning, AI, clustering, regression, ensemble modeling, and decision trees.Ability to query, manipulate, extract, and analyze structured data from large data repositories to generate actionable insights that deliver business resultsFamiliarity with experimental design and offer testing methodologyExperience with cloud-based big data platforms – e.g., Redshift, Big Query, Teradata.Bachelor’s degree or master’s (preferred) in a quantitative field (STEM or quantitative social sciences) and/or MBA with strong quant background.Strong organizational skills – task prioritization, effective time management, meeting facilitation, conflict resolution, and risk identification/mitigationStrong business skills – understand and identify key business levers and tailor recommendations that tap them.Knowledge of the digital marketing ecosystem and fluency with common web technologies is strongly preferredStrong strategic thinking and prioritization skillsExperience with Power BI or other front-end visualization tool is a plus"
0,6,Entry,
1,6,Summary,"Would you like to play a part in the next revolution in human-computer interaction? Contribute to a product that is redefining mobile and desktop computing, and work with the people who built the intelligent assistant that helps millions of people get things done — just by asking? The vision for the Siri Data organization is to improve Siri by using data as the voice of our customers. Within this organization the mission of the Analytics team is to inform the evolution of Siri through measurement and analysis of the user experience. As an Embedded Data Scientist on the team, you will be an ambassador of analytics to product and engineering teams with the ultimate purpose of improving the Siri experience for Apple customers."
2,6,Key Qualifications,"You think about data in terms of statistical distributions and have a big enough analytics toolbox to know how to find patterns in data, identify targets for performance, and identify sources of variance about those targets."
3,6,Description,"You will partner closely with Siri engineering teams to develop ways of characterizing the user experience in how Siri executes on requests and connecting those characterizations into Siri's development. • Define metrics that we will measure our efforts against as well as defining the instrumentation required for yielding sufficient data. • Communicate with and advocate to a wide audience of engineers, managers and executives to inform decisions on how Siri evolves. • Build analytic, visualization, and other information products with a drive to automate and scale the insights available to science and engineering teams. • Perform exploratory data analyses to enrich our mental models about Siri usage and identify new questions to pursue. • Extract information from structured and unstructured data coming from Siri's computational architecture."
4,6,Education & Experience,"We are looking for people with a track record in building insights and relationships to affect decisions. Join us, and impact hundreds of millions of customers across billions of their interactions with a personal, intelligent assistant who is available on iPhone, iPad, HomePod, Watch, TV, and Mac across more than 30 languages."
0,7,Entry,
1,7,Summary,"At Apple, great ideas have a way of becoming phenomenal products, services, and customer experiences very quickly. If you are an ambitious, high-energy individual who is not afraid of challenges, we’re looking for you. Apple is seeking an expert Data Scientist to join a team passionate about Data Science & Analytics for the media space. This role will primarily focus on Apple One, which includes subscription across Apple services - Apple Music, Apple TV+, Apple Arcade, iCloud, Apple News+, and Apple Fitness+. This role will involve working with Internet-scale data across numerous product and customer touch points, undertaking in-depth quantitative analysis, building models and partnering with business stakeholders across multiple products to drive strategy. The team’s culture is centered around rapid iteration with open feedback and debate along the way. We encourage independent decision-making and taking calculated risks. AMP Data Science collaborates with partners across product, design, engineering, and business teams: our mission is to drive innovation at Apple through deep quantitative research of the App Store, Apple Music, Apple TV, and Apple Arcade amongst other services."
2,7,Key Qualifications,4+ years of experience in a Data Scientist or Data Analyst role in the digital media or entertainment businesses.
3,7,Description,"Dive deep into large-scale data to uncover trends and identify key insights that will inform business strategy. Craft how best to monitor, measure and understand business performance and build out associated Keynote narratives, datasets, and dashboards. Work closely across multiple teams including business, marketing, finance and executive teams to generate regular presentations for C-level. Partner with other Apple organizations on data gathering, data governance, evangelizing key performance indicators and democratizing data."
4,7,Education & Experience,"Bachelors degree in Computer Science, Statistics, Mathematics, Engineering, Economics or related technical field. Masters degree preferred."
0,8,Entry,"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started."
1,8,Responsibilities,"Apply your technical expertise to help solve, inform, influence, support, and execute our HR business decisions for the People Analytics team and all of our clients (HR Business Partners, L&D, Diversity, People Growth, People Operations, Global Mobility, Benefits, and Equity)Use tools and programming languages like Tableau, Hive, Oracle, R, Python, Excel, Workday, Visier and many other internal tools to work efficiently at scaleMaintain code-base (SQL) used to drive self-service tools, and recommend opportunities for improvementCreate and iterate on solutions and dashboards to empower operational and exploratory analysisEnforce best practices and alignment with research, forecasting, analytics, and engineering teamsEffectively communicate with external clients and internal teams to deliver solutions in a timely fashionRespond to (or triage) any and all requests related to people data with minimal guidance or oversightDocument requirements with stakeholders, and partner with People Insights and People Analytics on broader changes to core dashboards and solutions"
2,8,Minimum Qualification,"BA/BS in a field that emphasizes data analysis and visualization (e.g., computer science, social sciences, physical sciences, math, engineering, or statistics), or equivalent work experience3+ years experience with SQL (or similar language aimed at querying relational databases)3+ years of experience working with data visualization toolsKnowledge with Excel (conditional formulas and formatting, charting, etc.)Experience with data management, specifically with validating and auditing data and reports from multiple systemsExperience manipulating large data sets through statistical software or other methodsExperience initiating and driving projects to completion with minimal guidanceExperience processing and analyzing data sets, interpreting them for making business decisionsExperience communicating the results of analyses with product and leadership teams to influence the overall strategy of the product"
3,8,Preferred Qualification,"2+ years of experience with R, Python, or a similar scripting languageExperience working with HR/organizational people data (e.g. headcount, turnover, recruiting metrics, and other people analytics)Project management experience"
0,9,Entry,
1,9,Job Summary,"The Data Scientist Intern on the Disney Media & Entertainment Distribution (DMED) Digital Media – Forecasting & Analytics team will be responsible for developing predictive models of movies viewership on Freeform and FX, to support digital ad sales inventory forecasts. This process will involve data gathering and exploration to model development and deployment, working together with operations teams to understand rapidly shifting strategies and business needs. The Data Scientist Intern position is a technical and analytical role, with the ability to effectively communicate complex results and insights to business stakeholders."
2,9,Responsibilities,"Data Exploration: Translate raw data into meaningful and useful insights for data-driven decision making. Analyze data to identify patterns, test hypotheses, and create a common understanding of digital movie consumption.Forecasting: Leverage statistical and machine learning methods to measure and project a user’s engagement with movies on the Disney platforms across many KPIs. Develop and implement improvements to forecast models that enhance the prediction accuracy.Integration: Create user-friendly interfaces for stakeholders to provide information and easily digest outputs via visualizations, dashboards, and reports.Collaboration: We are looking for a results-oriented team member to join us in a fast-paced cross-functional environment, with excellent time management skills and a commitment to contributing effectively in a cooperative team environment."
3,9,Basic Qualifications,"Experience using SQL and Python for data analysisExperience designing and implementing predictive models (generalized linear models, time series, etc.)Experience acquiring, cleansing, manipulating, and loading large amounts of dataExperience with data visualization tools (e.g. Tableau, PowerBI) Communication skills; able to shift between technical and non-technical terminology depending on audienceOpenness to learn new technologies and troubleshoot complex problems with creative problem-solving solutionsProven sense of responsibility, curiosity, and effective project ownershipComfort with messy data and ambiguity in a rapidly evolving industryStrong interpersonal skills, building relationships across teams and functions to advance business goals"
4,9,Preferred Qualifications,"Experience using GitExperience building frontend and backend web applications (e.g. Django, React JS, JQuery)Experience with ETL and cloud infrastructure"
5,9,Required Education,"Junior, Senior, or Graduate level student pursuing a degree from an accredited college or university. Or recently graduated from an accredited college or university within the last 18 months."
6,9,Additional Information,"At the time of application, must be enrolled in an accredited college/university taking at least one class in the semester/quarter (spring/fall) prior to participation in the internship program OR must have graduated from a college/university within the past 18 months OR currently participating in a Disney College Program or Disney Professional InternshipMust be at least 18 years of ageMust not have completed one year of continual employment on a Disney internship or program.Must possess unrestricted work authorizationMust provide full work availabilityCurrent Active Disney cast members must meet Professional Internship transfer guidelines (for Walt Disney World cast members this is no more than four points and one reprimand in the last six months; for Disneyland cast members this is six months of consecutive service and a performance record clear of any disciplinary issues (warnings, suspensions, etc.) for at least six months)"
7,9,Program Length,The approximate dates of this internship are May/June - August/September 2021. Interns must be fully available for the duration of a 12 week assignment.
8,9,Work Environment,"This internship is a remote internship. The internship requires a working, reliable internet connection as well as a quiet, dedicated work space."
9,9,772167BR,
0,10,Entry,"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started."
1,10,Responsibilities,"Apply your technical expertise to help solve, inform, influence, support, and execute our HR business decisions for the People Analytics team and all of our clients (HR Business Partners, L&D, Diversity, People Growth, People Operations, Global Mobility, Benefits, and Equity)Use tools and programming languages like Tableau, Hive, Oracle, R, Python, Excel, Workday, Visier and many other internal tools to work efficiently at scaleMaintain code-base (SQL) used to drive self-service tools, and recommend opportunities for improvementCreate and iterate on solutions and dashboards to empower operational and exploratory analysisEnforce best practices and alignment with research, forecasting, analytics, and engineering teamsEffectively communicate with external clients and internal teams to deliver solutions in a timely fashionRespond to (or triage) any and all requests related to people data with minimal guidance or oversightDocument requirements with stakeholders, and partner with People Insights and People Analytics on broader changes to core dashboards and solutions"
2,10,Minimum Qualification,"BA/BS in a field that emphasizes data analysis and visualization (e.g., computer science, social sciences, physical sciences, math, engineering, or statistics), or equivalent work experience3+ years experience with SQL (or similar language aimed at querying relational databases)3+ years of experience working with data visualization toolsKnowledge with Excel (conditional formulas and formatting, charting, etc.)Experience with data management, specifically with validating and auditing data and reports from multiple systemsExperience manipulating large data sets through statistical software or other methodsExperience initiating and driving projects to completion with minimal guidanceExperience processing and analyzing data sets, interpreting them for making business decisionsExperience communicating the results of analyses with product and leadership teams to influence the overall strategy of the product"
3,10,Preferred Qualification,"2+ years of experience with R, Python, or a similar scripting languageExperience working with HR/organizational people data (e.g. headcount, turnover, recruiting metrics, and other people analytics)Project management experience"
0,11,Entry,"What are we Building?We believe it is important for every student to have a strong understanding of math to thrive in an increasingly data­-driven world. Thus, Photomath aims to change the way students learn math. We’ve achieved viral, organic growth to become the most popular math education app with over 200 million downloads. Through our mobile app, users can solve math problems instantly using their phone cameras and get detailed step-by-step instructions that help maximize learning."
0,12,Entry,"At Confluent, we’re creating a category that transforms how every company manages and streams data. Have you ever found a new favorite series on Netflix, picked up groceries curbside at Walmart, or paid for something using Square? That’s Confluent in action—giving our customers instant access to massive amounts of real-time data, enabling them to thrive in an ever-changing digital world. As one of the fastest-growing enterprise companies in history, and with Fortune 100 customers across major industries, we have a tremendous opportunity in front of us. We also have experience on our side. Our leaders have taken companies of our size to major success before and include some of the original creators of Apache Kafka®."
1,12,What We're Looking For,"1+ years of experience in data manipulations and analyticsStrong proficiency in SQL and Python for data manipulations (1+ years of experience)Proficiency in data visualization (eg. Tableau, Python, Metabase, Looker, Matlab, etc.) (1+ years of experience)Bachelor or advanced degree in a quantitative discipline: statistics, operations research, computer science, informatics, engineering, applied mathematics, economics, etc.The ability to communicate cross-functionally, derive requirements and deliver insightful reports and analysis; ability to synthesize, simplify and explain complex problems to different types of audiences"
2,12,What Give You An Edge,"3+ years of experience in data manipulations and analyticsExperience working with B2B data sources: such as Salesforce, Clari, Zendesk, GainInsights, Marketo, etc.Experience working with SaaS business analytics: key go to market funnel metrics, Sales pipeline measurement, customer retention, etc."
3,12,#LI- MT1,
4,12,Come As You Are,"At Confluent, equality is a core tenet of our culture. We are committed to building an inclusive global team that represents a variety of backgrounds, perspectives, beliefs, and experiences. The more diverse we are, the richer our community and the broader our impact."
0,13,Entry,"At Confluent, we’re creating a category that transforms how every company manages and streams data. Have you ever found a new favorite series on Netflix, picked up groceries curbside at Walmart, or paid for something using Square? That’s Confluent in action—giving our customers instant access to massive amounts of real-time data, enabling them to thrive in an ever-changing digital world. As one of the fastest-growing enterprise companies in history, and with Fortune 100 customers across major industries, we have a tremendous opportunity in front of us. We also have experience on our side. Our leaders have taken companies of our size to major success before and include some of the original creators of Apache Kafka®."
1,13,What We're Looking For,"1+ years of experience in data manipulations and analyticsStrong proficiency in SQL and Python for data manipulations (1+ years of experience)Proficiency in data visualization (eg. Tableau, Python, Metabase, Looker, Matlab, etc.) (1+ years of experience)Bachelor or advanced degree in a quantitative discipline: statistics, operations research, computer science, informatics, engineering, applied mathematics, economics, etc.The ability to communicate cross-functionally, derive requirements and deliver insightful reports and analysis; ability to synthesize, simplify and explain complex problems to different types of audiences"
2,13,What Give You An Edge,"3+ years of experience in data manipulations and analyticsExperience working with B2B data sources: such as Salesforce, Clari, Zendesk, GainInsights, Marketo, etc.Experience working with SaaS business analytics: key go to market funnel metrics, Sales pipeline measurement, customer retention, etc."
3,13,#LI- MT1,
4,13,Come As You Are,"At Confluent, equality is a core tenet of our culture. We are committed to building an inclusive global team that represents a variety of backgrounds, perspectives, beliefs, and experiences. The more diverse we are, the richer our community and the broader our impact."
0,14,Entry,"At Urbint, our mission is to make communities more resilient. We do this by pairing external data with artificial intelligence to identify areas of high risk and prevent catastrophic loss for utilities and infrastructure operators across the country. We are a team of close-knit engineers, entrepreneurs, and data geeks who obsess over problem-solving, new technologies, and making a positive impact in our communities."
1,14,Job Summary,"Our Data Engineering team is responsible for securing access to ongoing feeds, and historical data from our customers to support the training of predictive machine learning models, and the workflows that make up our applications."
2,14,Who You Are,"A data geek with enviable SQL and Pandas skills and a passionate sense of ownership A self-starter who enjoys working in a small, rapidly changing, fast-paced environment Someone who enjoys dealing with large, disparate datasets Proactive communicator; Upfront/candid with any challenges Excellent attention to detail in all aspects of work Able to troubleshoot independently, and identify when outside help is needed when roadblocks are hit"
3,14,What You’ll Do,"Operate Urbint’s data ingestion tooling Write new data transforms in Pandas, and Python where appropriate Develop data analysis scripts to automate quality assurance Write updates and share with Customer Success teams Identify and make process improvements in the data ingestion process"
4,14,Required Skills,
5,14,Pandas Python SQL,
6,14,Nice to Haves,
7,14,Jupyter Notebooks Numpy Git,
8,14,Benefits,Mission-driven - some companies use AI to serve better digital ads and trade stocks; we seek to make our communities safer and more resilient 100% remote - work from anywhere Remote work monthly stipend Competitive compensation package Best in class medical coverage - 100% benefits and premiums paid Health perks - wellness reimbursement Educational allowance - up to $1000 /yr Weekly lunch stipend
0,15,Entry,
1,15,Job Description,"At Rockwell Automation, we offer transformative technology that helps our customers differentiate their business. Our products optimize industrial operations. We are looking for energetic engineering students who want to advance their engineering capabilities and be part of a collaborative team that loves innovation"
2,15,Basic Qualification,"Must be pursuing a bachelor’s or advanced degree from an accredited college or university Prefer candidates pursuing Masters or PHD degrees Minimum cumulative GPA of 2.75 Legal authorization to work in the US is required. We will not sponsor individuals for employment visas, now or in the future, for this job opening. Knowledge of electro-mechanical systems (including control). Experience with Typescript and Angular (or aptitude to learn it quickly) to build necessary user interface. Experience with Python."
3,15,Desired Skills,"Comfortable with setting up experimental test beds Familiarity with Digital Signal Processing Familiarity with machine learning fundamentals (clustering, regression, etc) . Undergraduate or graduate in an Engineering, Mathematics, Physics, or Computer Science"
0,16,Entry,
1,16,Summary,"Would you like to ensure that high quality natural language processing and artificial intelligence systems are shipped to delight the Siri end customer? You will work with multi-functional engineering, project management and quality teams. You help identify product and process quality issues and deliver an outstanding Siri end customer experience. Imagine being a part of the team that is developing intelligent assistant which is helping millions of people get things done - just by asking!"
2,16,Key Qualifications,"Proven experience handling relational databases and large scale distributed systems such as Hadoop and Spark along with querying languages including SQL, Hive and SparkSQL"
3,16,Description,"As a Data Engineer in Siri Quality Analytics team, you will diagnose and evaluate the metrics used to qualify various products, features and ML models. You will support product development, quality and ML model engineers in root cause analysis of failures by providing relevant data. You play a key part in understanding the points of failure and defining metrics that can track them. You will collaborate with the analytics team by ensuring seamless, accurate and timely flow of data from various testing platforms to a central data platform. You should have a strong intuition towards understanding various logs of information and translating it to analytical schema."
4,16,Education & Experience,"M.S or Ph.D. in Computer Science, Engineering or related fields"
0,17,Entry,
1,17,Summary,"Apple products are known for their ease of use and quality. Creating products that meet this high standard requires continuously learning from our customer service interactions. If you have a passion for developing insights from real world data, have great attention to detail, and are passionate about improving customer experience, this is the job for you!"
2,17,Key Qualifications,5+ years experience as a data analyst or data scientist
3,17,Description,"This role is responsible for the development of KPIs and data assets in support of delivering insights spanning hardware and software field performance for multiple product lines. The focus will be on expanding an already robust hardware feedback loop, with attention to underutilized data sets, identification of opportunities for early warning on changes in customer service volumes, automation of analytic operations, and enhancement of existing insight assets. Particular attention will be focused on data visualization, automation and trend/pattern detection spanning multiple product lines."
4,17,Responsibilities include:,Leading the Voice of the Customer (VOC) feedback loop for AppleCare
5,17,Education & Experience,"BS/BA degree required, preferably in a quantitative field, such as statistics, engineering, computer science, data analytics or mathematics"
0,18,Entry,
1,18,Description,
2,18,More About Silicon Labs:,"We are Silicon Labs. We are the leading provider of silicon, software and solutions for a smarter, more connected world."
3,18,bit.ly/SiliconLabsInterns,
4,18,bit.ly/WomenatSilabs,
5,18,bit.ly/WhySilabsInternship,
6,18,What You’ll Do,"Projects are specifically tailored to each intern, ensuring a meaningful contribution to both your skillset and Silicon Labs. Here are just a few of the challenges you might get to tackle:"
7,18,Who You Are,"You are an innovator, builder, and tinkerer. You have a curious mind and a drive to succeed. You want to work with a global team of technology enthusiasts and design pioneers. Here’s what you need:"
8,18,What’s in a World-Class Internship?,Take It From Our Previous Interns
0,19,Entry,
1,19,Summary,"There are jobs and then there are opportunities. This is an opportunity for an upbeat and self-driven, Full Stack Data Scientist to work on the next-gen data products on our Cloud data team. As a member of our group here in Apple Cloud, you will have an outstanding and extraordinary opportunity to craft the systems that allow our products to delight and encourage millions of Apple’s customers every day! This is a hands-on, role, that provides data driven insight to improve revenue, margin and customer experience of our Cloud services. This role will be instrumental in building data engineering assets and statistical/machine learning models to surface meaningful business insights and communicate these results and ideas to key decision makers within Apple. This role requires working closely with multi-functional teams such as Marketing, Finance and Product Engineering teams to understand their processes and analytic needs and provide guidance that benefit Apple."
2,19,Key Qualifications,- 7 + years proven ability in analyzing data and reporting.
3,19,- Additional Success Factors:,
4,19,- Understanding Subscription based business.,- Excellent written and verbal communication skills.
5,19,Description,"This role will be performing adhoc data analysis -You will build data engineering assets using Scala, Python and other big data SQL technologies - Program in Java/Python/R to develop predictive and forecasting models - Device advanced statistical/machine learning methods to improve current KPIs - Operationalize the data engineering and machine learning models - Build visualizations to communicate insights and analytics findings."
6,19,Education & Experience,"- BA/BS/BE in a quantitative field (Statistics, Computer Science, Ops Research etc.) - Masters or PhD in Statistics/Mathematics is a plus"
7,19,Additional Requirements,
8,19,https://textio.com/?l=znxtbgk,
0,20,Entry,
1,20,Description,"At PitchBook we work to provide global professionals with comprehensive data on the entire venture capital, private equity and M&A landscape so they can discover and execute opportunities with confidence. We credit our success and rapid growth to our cutting-edge products, customer centered attitude and ability to embrace and drive change."
2,20,About The Role,"The Associate BI Analyst will work closely with senior level decision makers and members of BI to streamline and accelerate the flow of actionable data across PitchBook. This role demands effective communication, process orientation and creativity when it comes to using data and reports that provide insight. This is an exciting opportunity for the growth-minded candidate to learn and contribute in a fast paced, rapidly growing business."
3,20,Primary Job Responsibilities,"Answer ad hoc business questions for stakeholders, with support from BI Analytics practice, using standard data tools and processes such as SQL and Python Develop business requirements for BI reporting and solutions, concentrating on the business benefit, impact or change expected from the deliverable Assist in documenting new process, data definitions, business logic and BI tools within standard information repositories and tools Present findings and trends to key business stakeholdersAssist BI team members with creation and maintenance of Tableau reports and dashboardsTrack all ad hoc and project work, providing weekly status updates in the appropriate tools and to relevant stakeholdersUphold and demonstrate a data-driven mindset, focused on creating and measuring impact against BI goals and stakeholder teams Regularly provide end-user onboarding and training for BI products and services especially as the data environment at PitchBook becomes more self-service orientedSupport the vision and values of the company through role modeling and encouraged desired behaviorsParticipate in various company initiatives and project as requested"
